OPC-N2 FirmwareVer=OPC-018.1..............................BD
OPC-N2 176430713                                            
Config info:
GSC,1.000
LaserDAC,215
FanDAC,255
ToFtoSFRfactor,74
BinNo,Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15
Boundary(upper),17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685,4095
ParticleVolume(um3),0.051,0.151,0.401,0.894,1.646,3.209,8.530,22.449,47.713,99.541,199.532,381.703,696.910,1150.347,1767.146,2460.612
ParticleDensity(g/ml),1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650
SampleVolumeWeighting,4.500,3.000,2.000,0.500,0.300,0.250,0.250,0.250,0.350,0.450,0.500,0.800,1.000,1.000,1.000,1.000
DataRequestInterval(s),1.398
MaxDataArraysPerFile,61798
Data:
Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MToFBin1(us/3),MToFBin3,MToFBin5,MToFBin7,SFR(ml/s),SamplingPeriod(s),PM1(ug/m3),PM2.5,PM10
358,128,42,6,1,0,0,0,0,0,0,0,0,0,0,0,15,23,0,0,5.048,1.387,34.648,40.824,40.914
373,123,30,7,0,0,0,0,0,0,0,0,0,0,0,0,15,22,0,0,4.990,1.387,34.082,39.345,39.413
360,132,35,6,0,0,1,0,0,0,0,0,0,0,0,0,15,20,0,0,4.962,1.387,34.920,40.879,41.195
359,139,41,8,0,3,0,0,0,0,0,0,0,0,0,0,15,20,25,0,4.947,1.387,36.363,43.204,43.413
374,140,32,4,0,1,0,0,0,0,1,0,0,0,0,0,16,20,27,0,4.781,1.383,37.456,43.428,59.564
382,119,33,9,0,0,0,0,0,0,0,0,0,0,0,0,15,24,0,0,4.856,1.387,35.554,41.278,41.359
375,128,44,4,0,1,0,1,0,0,0,0,0,0,0,0,15,19,37,27,4.894,1.387,36.780,43.492,44.587
387,147,38,1,1,0,0,0,0,0,0,0,0,0,1,0,15,19,0,0,4.914,1.387,38.246,44.307,92.118
369,139,44,3,0,0,2,0,0,0,0,0,0,0,0,0,15,19,0,0,4.924,1.387,37.207,44.060,44.625
387,141,37,5,2,1,0,0,0,0,0,0,0,0,0,0,15,22,23,0,4.928,1.387,37.641,43.985,44.119
363,121,37,10,2,0,0,0,0,0,0,0,0,0,0,0,14,21,0,0,5.101,1.383,33.637,39.628,39.735
384,142,34,6,2,0,0,0,0,0,0,0,0,0,0,0,15,22,0,0,5.016,1.387,36.615,42.571,42.663
391,159,38,7,0,0,0,1,1,0,0,0,0,0,0,0,15,20,0,27,4.974,1.387,39.248,46.246,50.465
389,113,42,6,1,3,0,0,0,0,0,0,1,0,0,0,15,21,23,0,4.954,1.387,35.626,42.130,93.000
