Instrument Name,DustTrak II
Model Number,8530
Serial Number,8530152108
Firmware Version,3.5
Calibration Date,2017/05/03
Test Name,IAQ_INDOOR_013
Test Start Time,10:51:06
Test Start Date,2018/08/20
Test Length [D:H:M],2:22:8
Test Interval [M:S],2:0
Mass Average [mg/m3],0.047
Mass Minimum [mg/m3],0.019
Mass Maximum [mg/m3],0.427
Mass TWA [mg/m3],0.137
Photometric User Cal,0.38
Flow User Cal,0.00
Errors,
Number of Samples,2104

Elapsed Time [s],Mass [mg/m3],Alarms,Errors
39240,0.041,,
39360,0.041,,
39480,0.041,,
39600,0.043,,
39720,0.043,,
39840,0.044,,
39960,0.044,,
40080,0.044,,
40200,0.044,,
40320,0.044,,
40440,0.044,,
40560,0.045,,
40680,0.045,,
40800,0.045,,
40920,0.045,,
41040,0.045,,
41160,0.045,,
41280,0.046,,
41400,0.046,,
41520,0.046,,
41640,0.046,,
41760,0.045,,
41880,0.045,,
42000,0.045,,
42120,0.045,,
42240,0.045,,
42360,0.044,,
42480,0.044,,
42600,0.044,,
42720,0.043,,
42840,0.043,,
42960,0.043,,
43080,0.043,,
43200,0.043,,
43320,0.043,,
43440,0.043,,
43560,0.042,,
43680,0.042,,
43800,0.042,,
43920,0.042,,
44040,0.042,,
44160,0.042,,
44280,0.042,,
44400,0.041,,
44520,0.041,,
44640,0.041,,
44760,0.041,,
44880,0.040,,
45000,0.040,,
45120,0.040,,
45240,0.040,,
45360,0.039,,
45480,0.039,,
45600,0.039,,
45720,0.039,,
45840,0.039,,
45960,0.038,,
46080,0.038,,
46200,0.038,,
46320,0.038,,
46440,0.037,,
46560,0.037,,
46680,0.037,,
46800,0.037,,
46920,0.037,,
47040,0.037,,
47160,0.036,,
47280,0.036,,
47400,0.036,,
47520,0.036,,
47640,0.035,,
47760,0.035,,
47880,0.035,,
48000,0.035,,
48120,0.035,,
48240,0.035,,
48360,0.035,,
48480,0.035,,
48600,0.035,,
48720,0.035,,
48840,0.034,,
48960,0.034,,
49080,0.034,,
49200,0.034,,
49320,0.034,,
49440,0.034,,
49560,0.034,,
49680,0.034,,
49800,0.034,,
49920,0.034,,
50040,0.034,,
50160,0.034,,
50280,0.034,,
50400,0.033,,
50520,0.034,,
50640,0.034,,
50760,0.033,,
50880,0.034,,
51000,0.033,,
51120,0.034,,
51240,0.033,,
51360,0.033,,
51480,0.033,,
51600,0.032,,
51720,0.032,,
51840,0.032,,
51960,0.032,,
52080,0.033,,
52200,0.032,,
52320,0.032,,
52440,0.032,,
52560,0.031,,
52680,0.031,,
52800,0.031,,
52920,0.031,,
53040,0.031,,
53160,0.031,,
53280,0.031,,
53400,0.031,,
53520,0.031,,
53640,0.030,,
53760,0.030,,
53880,0.030,,
54000,0.030,,
54120,0.030,,
54240,0.030,,
54360,0.030,,
54480,0.031,,
54600,0.031,,
54720,0.031,,
54840,0.031,,
54960,0.031,,
55080,0.031,,
55200,0.031,,
55320,0.031,,
55440,0.031,,
55560,0.031,,
55680,0.031,,
55800,0.030,,
55920,0.029,,
56040,0.029,,
56160,0.029,,
56280,0.029,,
56400,0.029,,
56520,0.029,,
56640,0.030,,
56760,0.030,,
56880,0.030,,
57000,0.031,,
57120,0.031,,
57240,0.031,,
57360,0.031,,
57480,0.031,,
57600,0.030,,
57720,0.030,,
57840,0.030,,
57960,0.029,,
58080,0.029,,
58200,0.029,,
58320,0.029,,
58440,0.028,,
58560,0.028,,
58680,0.028,,
58800,0.028,,
58920,0.028,,
59040,0.028,,
59160,0.028,,
59280,0.028,,
59400,0.028,,
59520,0.028,,
59640,0.028,,
59760,0.028,,
59880,0.028,,
60000,0.028,,
60120,0.028,,
60240,0.029,,
60360,0.028,,
60480,0.028,,
60600,0.028,,
60720,0.028,,
60840,0.030,,
60960,0.030,,
61080,0.029,,
61200,0.029,,
61320,0.029,,
