Instrument Name,DustTrak II
Model Number,8530
Serial Number,8530152108
Firmware Version,3.5
Calibration Date,2017/05/03
Test Name,ROOFSMOKE_014
Test Start Time,16:05:55
Test Start Date,2018/08/23
Test Length [D:H:M],1:1:26
Test Interval [M:S],2:0
Mass Average [mg/m3],0.004
Mass Minimum [mg/m3],0.001
Mass Maximum [mg/m3],0.020
Mass TWA [mg/m3],0.008
Photometric User Cal,0.38
Flow User Cal,0.00
Errors,
Number of Samples,763

Elapsed Time [s],Mass [mg/m3],Alarms,Errors
120,0.020,,
240,0.020,,
360,0.020,,
480,0.019,,
600,0.019,,
720,0.019,,
840,0.019,,
960,0.019,,
1080,0.019,,
1200,0.018,,
1320,0.018,,
1440,0.018,,
1560,0.018,,
1680,0.018,,
1800,0.017,,
1920,0.017,,
2040,0.017,,
2160,0.017,,
2280,0.018,,
2400,0.018,,
2520,0.017,,
2640,0.017,,
2760,0.016,,
2880,0.016,,
3000,0.016,,
3120,0.016,,
3240,0.015,,
3360,0.015,,
3480,0.015,,
3600,0.015,,
3720,0.016,,
3840,0.015,,
3960,0.014,,
4080,0.015,,
4200,0.015,,
4320,0.015,,
4440,0.014,,
4560,0.013,,
4680,0.013,,
4800,0.013,,
4920,0.013,,
5040,0.013,,
5160,0.013,,
5280,0.012,,
5400,0.012,,
5520,0.012,,
5640,0.012,,
5760,0.011,,
5880,0.011,,
6000,0.011,,
6120,0.011,,
6240,0.010,,
6360,0.010,,
6480,0.010,,
6600,0.010,,
6720,0.010,,
6840,0.009,,
6960,0.009,,
7080,0.009,,
7200,0.009,,
7320,0.009,,
7440,0.009,,
7560,0.009,,
7680,0.008,,
7800,0.008,,
7920,0.008,,
8040,0.008,,
8160,0.008,,
8280,0.008,,
8400,0.008,,
8520,0.007,,
8640,0.007,,
8760,0.007,,
8880,0.007,,
9000,0.007,,
9120,0.007,,
9240,0.007,,
9360,0.007,,
9480,0.007,,
9600,0.007,,
9720,0.007,,
9840,0.006,,
9960,0.006,,
10080,0.006,,
10200,0.006,,
10320,0.006,,
10440,0.006,,
10560,0.006,,
10680,0.006,,
10800,0.006,,
10920,0.006,,
11040,0.006,,
11160,0.006,,
11280,0.006,,
11400,0.006,,
11520,0.006,,
11640,0.006,,
11760,0.006,,
11880,0.006,,
12000,0.006,,
12120,0.006,,
12240,0.006,,
12360,0.006,,
12480,0.006,,
12600,0.006,,
12720,0.006,,
12840,0.006,,
12960,0.006,,
13080,0.006,,
13200,0.006,,
13320,0.006,,
13440,0.006,,
13560,0.006,,
13680,0.006,,
13800,0.006,,
13920,0.006,,
14040,0.006,,
14160,0.006,,
14280,0.006,,
14400,0.006,,
14520,0.007,,
14640,0.006,,
14760,0.006,,
14880,0.007,,
15000,0.007,,
15120,0.007,,
15240,0.007,,
15360,0.007,,
15480,0.007,,
15600,0.007,,
15720,0.007,,
15840,0.007,,
15960,0.007,,
16080,0.007,,
16200,0.007,,
16320,0.007,,
16440,0.007,,
16560,0.007,,
16680,0.007,,
16800,0.007,,
16920,0.007,,
17040,0.007,,
17160,0.007,,
17280,0.007,,
17400,0.007,,
17520,0.007,,
17640,0.007,,
17760,0.007,,
17880,0.007,,
18000,0.007,,
18120,0.007,,
18240,0.008,,
18360,0.008,,
18480,0.008,,
18600,0.008,,
18720,0.008,,
18840,0.008,,
