Instrument Name,DustTrak II
Model Number,8530
Serial Number,8530152108
Firmware Version,3.5
Calibration Date,2017/05/03
Test Name,IAQ_INDOOR_012
Test Start Time,16:21:33
Test Start Date,2018/08/17
Test Length [D:H:M],2:18:22
Test Interval [M:S],2:0
Mass Average [mg/m3],0.090
Mass Minimum [mg/m3],0.007
Mass Maximum [mg/m3],0.435
Mass TWA [mg/m3],0.014
Photometric User Cal,0.38
Flow User Cal,0.00
Errors,
Number of Samples,1991

Elapsed Time [s],Mass [mg/m3],Alarms,Errors
120,0.069,,
240,0.011,,
360,0.010,,
480,0.010,,
600,0.010,,
720,0.010,,
840,0.010,,
960,0.010,,
1080,0.010,,
1200,0.010,,
1320,0.010,,
1440,0.010,,
1560,0.010,,
1680,0.009,,
1800,0.009,,
1920,0.009,,
2040,0.009,,
2160,0.009,,
2280,0.009,,
2400,0.009,,
2520,0.010,,
2640,0.009,,
2760,0.009,,
2880,0.009,,
3000,0.009,,
3120,0.009,,
3240,0.008,,
3360,0.008,,
3480,0.008,,
3600,0.008,,
3720,0.008,,
3840,0.008,,
3960,0.009,,
4080,0.009,,
4200,0.009,,
4320,0.009,,
4440,0.009,,
4560,0.009,,
4680,0.009,,
4800,0.009,,
4920,0.009,,
5040,0.009,,
5160,0.009,,
5280,0.009,,
5400,0.009,,
5520,0.009,,
5640,0.009,,
5760,0.009,,
5880,0.009,,
6000,0.009,,
6120,0.009,,
6240,0.009,,
6360,0.010,,
6480,0.010,,
6600,0.010,,
6720,0.010,,
6840,0.010,,
6960,0.010,,
7080,0.010,,
7200,0.010,,
7320,0.011,,
7440,0.011,,
7560,0.011,,
7680,0.011,,
7800,0.011,,
7920,0.012,,
8040,0.012,,
8160,0.012,,
8280,0.013,,
8400,0.013,,
8520,0.013,,
8640,0.014,,
8760,0.014,,
8880,0.014,,
9000,0.015,,
9120,0.015,,
9240,0.015,,
9360,0.016,,
9480,0.016,,
9600,0.017,,
9720,0.017,,
9840,0.017,,
9960,0.017,,
10080,0.017,,
10200,0.017,,
10320,0.017,,
10440,0.016,,
10560,0.016,,
10680,0.015,,
10800,0.015,,
10920,0.015,,
11040,0.014,,
11160,0.014,,
11280,0.014,,
11400,0.014,,
