Instrument Name,DustTrak II
Model Number,8530
Serial Number,8530150710
Firmware Version,3.5
Calibration Date,2017/05/02
Test Name,IAQ_OUTDOOR_026
Test Start Time,16:19:07
Test Start Date,2018/08/17
Test Length [D:H:M],2:18:22
Test Interval [M:S],2:0
Mass Average [mg/m3],0.081
Mass Minimum [mg/m3],0.009
Mass Maximum [mg/m3],0.383
Mass TWA [mg/m3],0.015
Photometric User Cal,0.38
Flow User Cal,0.00
Errors,
Number of Samples,1991

Elapsed Time [s],Mass [mg/m3],Alarms,Errors
120,0.009,,
240,0.010,,
360,0.010,,
480,0.010,,
600,0.010,,
720,0.010,,
840,0.010,,
960,0.010,,
1080,0.009,,
1200,0.009,,
1320,0.010,,
1440,0.010,,
1560,0.009,,
1680,0.009,,
1800,0.010,,
1920,0.009,,
2040,0.010,,
2160,0.009,,
2280,0.009,,
2400,0.009,,
2520,0.010,,
2640,0.009,,
2760,0.009,,
2880,0.009,,
3000,0.010,,
3120,0.010,,
3240,0.010,,
3360,0.010,,
3480,0.010,,
3600,0.010,,
3720,0.010,,
3840,0.010,,
3960,0.011,,
4080,0.011,,
4200,0.011,,
4320,0.011,,
4440,0.011,,
4560,0.011,,
4680,0.011,,
4800,0.011,,
4920,0.011,,
5040,0.011,,
5160,0.011,,
5280,0.011,,
5400,0.011,,
5520,0.011,,
5640,0.011,,
5760,0.011,,
5880,0.011,,
6000,0.011,,
6120,0.011,,
6240,0.012,,
6360,0.012,,
6480,0.012,,
6600,0.012,,
6720,0.012,,
6840,0.012,,
6960,0.012,,
7080,0.012,,
7200,0.012,,
7320,0.013,,
7440,0.013,,
7560,0.013,,
7680,0.013,,
7800,0.013,,
7920,0.014,,
8040,0.014,,
8160,0.014,,
8280,0.015,,
8400,0.015,,
8520,0.015,,
8640,0.015,,
8760,0.015,,
8880,0.016,,
9000,0.016,,
9120,0.016,,
9240,0.016,,
9360,0.017,,
9480,0.017,,
9600,0.017,,
9720,0.018,,
9840,0.018,,
9960,0.018,,
10080,0.018,,
10200,0.017,,
10320,0.017,,
10440,0.017,,
10560,0.017,,
10680,0.017,,
10800,0.016,,
10920,0.016,,
11040,0.016,,
11160,0.015,,
11280,0.016,,
11400,0.016,,
11520,0.016,,
11640,0.016,,
11760,0.016,,
11880,0.016,,
12000,0.016,,
12120,0.016,,
12240,0.016,,
12360,0.016,,
12480,0.016,,
12600,0.017,,
12720,0.017,,
12840,0.017,,
12960,0.017,,
13080,0.017,,
13200,0.016,,
13320,0.017,,
13440,0.017,,
13560,0.017,,
13680,0.017,,
13800,0.017,,
13920,0.017,,
14040,0.017,,
14160,0.017,,
14280,0.017,,
14400,0.017,,
14520,0.017,,
14640,0.017,,
14760,0.017,,
14880,0.017,,
15000,0.017,,
15120,0.017,,
15240,0.017,,
15360,0.017,,
15480,0.017,,
15600,0.017,,
15720,0.017,,
15840,0.017,,
15960,0.017,,
16080,0.017,,
16200,0.017,,
16320,0.017,,
16440,0.017,,
16560,0.017,,
16680,0.017,,
16800,0.017,,
16920,0.017,,
17040,0.017,,
17160,0.018,,
17280,0.018,,
17400,0.018,,
17520,0.018,,
17640,0.018,,
17760,0.018,,
17880,0.018,,
18000,0.017,,
18120,0.018,,
18240,0.018,,
18360,0.018,,
18480,0.018,,
18600,0.018,,
18720,0.017,,
18840,0.018,,
18960,0.018,,
19080,0.017,,
19200,0.017,,
19320,0.018,,
19440,0.018,,
19560,0.018,,
19680,0.018,,
19800,0.018,,
19920,0.018,,
20040,0.018,,
20160,0.018,,
20280,0.018,,
20400,0.018,,
20520,0.018,,
20640,0.018,,
20760,0.018,,
20880,0.018,,
21000,0.018,,
21120,0.018,,
21240,0.018,,
21360,0.018,,
21480,0.018,,
21600,0.018,,
21720,0.018,,
21840,0.018,,
21960,0.018,,
22080,0.018,,
22200,0.019,,
22320,0.018,,
22440,0.018,,
22560,0.018,,
22680,0.019,,
22800,0.019,,
22920,0.019,,
23040,0.018,,
23160,0.018,,
23280,0.018,,
23400,0.018,,
23520,0.018,,
23640,0.019,,
23760,0.019,,
23880,0.018,,
24000,0.018,,
24120,0.019,,
24240,0.018,,
24360,0.018,,
24480,0.018,,
24600,0.018,,
24720,0.018,,
24840,0.018,,
24960,0.018,,
25080,0.018,,
25200,0.018,,
25320,0.018,,
25440,0.018,,
25560,0.018,,
25680,0.017,,
25800,0.017,,
25920,0.017,,
26040,0.017,,
26160,0.018,,
26280,0.018,,
26400,0.017,,
26520,0.017,,
26640,0.017,,
26760,0.017,,
26880,0.018,,
27000,0.018,,
27120,0.018,,
27240,0.013,,
27360,0.014,,
27480,0.015,,
27600,0.013,,
27720,0.015,,
27840,0.013,,
27960,0.011,,
28080,0.014,,
28200,0.012,,
28320,0.011,,
28440,0.012,,
28560,0.016,,
28680,0.017,,
28800,0.017,,
28920,0.016,,
29040,0.017,,
29160,0.017,,
29280,0.017,,
29400,0.017,,
29520,0.017,,
29640,0.017,,
29760,0.017,,
29880,0.017,,
30000,0.018,,
30120,0.017,,
30240,0.017,,
30360,0.017,,
30480,0.017,,
30600,0.017,,
30720,0.016,,
30840,0.016,,
30960,0.016,,
31080,0.015,,
31200,0.015,,
31320,0.015,,
31440,0.014,,
31560,0.014,,
31680,0.014,,
31800,0.014,,
31920,0.014,,
32040,0.014,,
32160,0.015,,
32280,0.015,,
32400,0.015,,
32520,0.015,,
32640,0.015,,
32760,0.015,,
32880,0.015,,
33000,0.016,,
33120,0.016,,
33240,0.015,,
33360,0.015,,
33480,0.015,,
33600,0.015,,
33720,0.015,,
33840,0.015,,
33960,0.016,,
34080,0.017,,
34200,0.017,,
34320,0.017,,
34440,0.017,,
34560,0.017,,
34680,0.017,,
34800,0.017,,
34920,0.017,,
35040,0.017,,
35160,0.017,,
35280,0.017,,
35400,0.017,,
35520,0.017,,
35640,0.016,,
35760,0.016,,
35880,0.016,,
36000,0.016,,
36120,0.016,,
36240,0.016,,
36360,0.015,,
36480,0.015,,
36600,0.015,,
36720,0.016,,
36840,0.016,,
36960,0.016,,
37080,0.017,,
37200,0.017,,
37320,0.017,,
37440,0.017,,
37560,0.017,,
37680,0.017,,
37800,0.017,,
37920,0.017,,
38040,0.017,,
38160,0.017,,
38280,0.017,,
38400,0.016,,
38520,0.016,,
38640,0.016,,
38760,0.017,,
38880,0.017,,
39000,0.017,,
39120,0.017,,
39240,0.017,,
