OPC-N2 FirmwareVer=OPC-018.1..............................BD
OPC-N2 176430716                                            
Config info:
GSC,1.000
LaserDAC,186
FanDAC,255
ToFtoSFRfactor,74
BinNo,Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15
Boundary(upper),17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685,4095
ParticleVolume(um3),0.051,0.151,0.401,0.894,1.646,3.209,8.530,22.449,47.713,99.541,199.532,381.703,696.910,1150.347,1767.146,2460.612
ParticleDensity(g/ml),1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650
SampleVolumeWeighting,4.500,3.000,2.000,0.500,0.300,0.250,0.250,0.250,0.350,0.450,0.500,0.800,1.000,1.000,1.000,1.000
DataRequestInterval(s),1.398
MaxDataArraysPerFile,61798
Data:
Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MToFBin1(us/3),MToFBin3,MToFBin5,MToFBin7,SFR(ml/s),SamplingPeriod(s),PM1(ug/m3),PM2.5,PM10
2525,701,219,56,7,4,2,0,0,0,0,0,0,0,0,0,16,20,21,0,4.625,1.383,239.390,279.242,280.569
2436,710,230,37,7,4,5,1,1,0,0,0,0,0,0,0,16,20,22,25,4.625,1.387,235.150,275.728,282.230
2461,630,216,43,11,3,4,2,1,0,0,0,0,0,0,0,16,19,37,46,4.625,1.386,227.526,266.285,273.565
2435,678,224,51,4,8,3,2,1,1,1,0,0,0,0,0,16,20,23,17,4.625,1.386,231.841,272.724,305.254
2461,678,210,34,8,5,2,0,0,1,0,1,0,0,0,0,16,19,23,0,4.625,1.386,231.108,268.544,316.048
2441,658,237,41,6,3,3,1,2,0,0,0,0,0,0,0,16,19,27,27,4.625,1.386,231.376,271.486,280.850
2475,708,249,39,5,3,7,1,0,0,0,0,0,0,0,0,16,18,18,25,4.625,1.383,240.138,282.451,286.038
2436,702,228,39,6,6,4,2,0,1,0,0,0,0,0,0,16,20,19,25,4.625,1.386,234.248,274.800,287.539
2454,701,237,45,4,5,4,2,1,0,1,0,0,0,0,0,16,18,22,27,4.625,1.386,236.411,277.992,301.849
2438,715,214,51,7,3,5,0,1,1,0,0,0,0,0,0,16,19,24,0,4.625,1.386,234.419,274.571,288.830
2385,696,242,36,5,10,6,0,0,0,0,0,0,1,0,0,16,20,23,0,4.625,1.386,232.365,273.897,332.310
2427,751,233,42,8,4,6,4,1,1,1,0,0,0,0,0,16,21,16,23,4.625,1.383,239.840,283.246,318.579
2484,696,219,55,13,4,3,1,0,0,0,0,0,0,0,0,16,19,18,11,4.625,1.386,236.074,276.644,279.329
2448,638,213,41,8,3,4,0,0,0,1,0,0,0,0,0,16,21,24,0,4.625,1.386,227.059,264.563,282.840
2471,689,238,36,9,5,5,2,0,0,0,0,0,0,0,0,16,21,19,41,4.625,1.387,236.085,277.246,281.439
2451,730,235,32,11,7,1,5,1,1,0,0,0,0,0,0,16,20,21,28,4.625,1.387,238.472,280.541,299.102
2457,658,267,43,7,5,7,2,1,0,1,0,0,0,0,0,16,20,17,14,4.625,1.386,235.999,280.149,304.858
2485,677,201,51,6,3,3,1,3,0,0,0,0,0,0,0,16,20,25,33,4.625,1.383,232.487,271.150,283.959
2410,702,232,27,11,4,5,1,0,3,0,1,0,0,0,0,16,20,15,15,4.625,1.348,239.487,281.215,350.019
2468,674,209,52,7,8,6,1,1,0,0,0,0,0,0,0,16,20,25,31,4.625,1.386,231.688,271.847,278.813
2431,680,266,42,5,8,2,2,0,1,0,0,0,0,0,1,16,19,24,38,4.625,1.386,236.436,279.622,335.938
2465,700,227,37,10,5,1,0,0,0,0,0,0,0,0,0,16,18,29,0,4.625,1.386,235.591,274.702,275.780
2423,694,219,44,7,6,11,1,0,0,0,0,0,0,0,0,16,20,19,35,4.625,1.387,231.896,273.226,277.981
2446,698,208,46,1,8,5,2,1,0,0,0,0,0,0,0,16,19,26,24,4.625,1.382,232.993,272.634,280.306
2424,714,237,34,8,6,3,0,1,0,0,0,0,0,0,0,16,19,29,0,4.625,1.386,235.657,276.273,281.314
2415,713,221,42,11,6,1,4,1,0,0,0,0,0,0,0,16,19,27,26,4.625,1.387,233.483,274.158,282.860
2457,741,231,44,7,7,5,2,0,0,1,0,0,0,0,0,16,21,20,31,4.625,1.386,239.797,282.026,302.839
