"TOA5","lab-cr3000","CR3000","9669","CR3000.Std.28.02","CPU:dust_sensor_eval.cr3","11175","dylos"
"TIMESTAMP","RECORD","dc1100_A_pm_small","dc1100_A_pm_large","dc1100_B_pm_small","dc1100_B_pm_large"
"TS","RN","counts/m^3","counts/m^3","counts/m^3","counts/m^3"
"","","Smp","Smp","Smp","Smp"
"2018-08-23 16:45:00",0,"NAN","NAN","NAN","NAN"
"2018-08-23 16:46:00",1,"NAN","NAN",1065,44
"2018-08-23 16:47:00",2,"NAN","NAN",1056,41
"2018-08-23 16:48:00",3,"NAN","NAN",1036,39
"2018-08-23 16:49:00",4,"NAN","NAN",1030,42
"2018-08-23 16:50:00",5,"NAN","NAN",976,46
"2018-08-23 16:51:00",6,"NAN","NAN",982,41
"2018-08-23 16:52:00",7,"NAN","NAN",1027,46
"2018-08-23 16:53:00",8,"NAN","NAN",1028,41
"2018-08-23 16:54:00",9,"NAN","NAN",1024,40
"2018-08-23 16:55:00",10,"NAN","NAN",1037,48
"2018-08-23 16:56:00",11,"NAN","NAN",1054,37
"2018-08-23 16:57:00",12,"NAN","NAN",1039,39
"2018-08-23 16:58:00",13,"NAN","NAN",1015,34
"2018-08-23 16:59:00",14,"NAN","NAN",1017,34
"2018-08-23 17:00:00",15,"NAN","NAN",1031,31
"2018-08-23 17:01:00",16,"NAN","NAN",1049,36
"2018-08-23 17:02:00",17,"NAN","NAN",1002,34
"2018-08-23 17:03:00",18,"NAN","NAN",1023,43
"2018-08-23 17:04:00",19,"NAN","NAN",985,35
"2018-08-23 17:05:00",20,"NAN","NAN",976,38
"2018-08-23 17:06:00",21,"NAN","NAN",966,32
"2018-08-23 17:07:00",22,"NAN","NAN",974,40
"2018-08-23 17:08:00",23,"NAN","NAN",932,37
"2018-08-23 17:09:00",24,"NAN","NAN",886,33
"2018-08-23 17:10:00",25,"NAN","NAN",891,33
"2018-08-23 17:11:00",26,"NAN","NAN","NAN","NAN"
"2018-08-23 17:12:00",27,"NAN","NAN",864,35
"2018-08-23 17:13:00",28,"NAN","NAN",853,35
