TheTime,Bsp_1,Bsp_2
43335.92226024,5.391415e-05,5.391233e-05
43335.92295468,5.439610e-05,5.420279e-05
43335.92364913,5.510022e-05,5.505707e-05
43335.92434357,5.555824e-05,5.538170e-05
43335.92503802,5.406796e-05,5.394650e-05
43335.92573246,5.368514e-05,5.363896e-05
43335.92642691,5.448155e-05,5.439073e-05
43335.92712135,5.410215e-05,5.399776e-05
43335.92781579,5.377743e-05,5.374147e-05
43335.92851024,5.433799e-05,5.423696e-05
43335.92920468,5.368856e-05,5.345102e-05
43335.92989913,5.307331e-05,5.307513e-05
43335.93059357,5.250933e-05,5.251130e-05
43335.93128801,5.349715e-05,5.338267e-05
43335.93198246,5.428330e-05,5.421987e-05
43335.93267690,5.407480e-05,5.394650e-05
43335.93337134,5.399960e-05,5.399776e-05
43335.93406579,5.302204e-05,5.302387e-05
43335.93476023,5.305622e-05,5.290427e-05
43335.93545468,5.253326e-05,5.249422e-05
43335.93614912,5.244439e-05,5.256256e-05
43335.93684357,5.337068e-05,5.339976e-05
43335.93753801,5.415000e-05,5.411736e-05
43335.93823245,5.381503e-05,5.372439e-05
43335.93892690,5.348006e-05,5.351936e-05
43335.93962134,5.370565e-05,5.360479e-05
43335.94031579,5.321687e-05,5.316056e-05
43335.94101023,5.225298e-05,5.206708e-05
43335.94170467,5.265289e-05,5.278467e-05
43335.94239912,5.237603e-05,5.228919e-05
43335.94309356,5.323738e-05,5.316056e-05
43335.94378801,5.555140e-05,5.545004e-05
43335.94448245,5.601967e-05,5.597970e-05
43335.94517689,5.612221e-05,5.615055e-05
43335.94587134,5.469347e-05,5.451033e-05
43335.94656578,5.377743e-05,5.380982e-05
43335.94726023,5.300837e-05,5.292136e-05
43335.94795467,5.294001e-05,5.293845e-05
43335.94864911,5.320320e-05,5.310930e-05
43335.94934356,5.467638e-05,5.447616e-05
43335.95003800,5.480626e-05,5.469827e-05
43335.95073244,5.409531e-05,5.398067e-05
43335.95142689,5.465587e-05,5.459576e-05
43335.95212133,5.497033e-05,5.497164e-05
43335.95281578,5.267682e-05,5.273342e-05
43335.95351022,5.341512e-05,5.338267e-05
43335.95420466,5.303913e-05,5.310930e-05
43335.95489911,5.282379e-05,5.293845e-05
43335.95559355,5.298786e-05,5.300679e-05
43335.95628800,5.239312e-05,5.251130e-05
43335.95698244,5.238970e-05,5.240879e-05
43335.95767688,5.270758e-05,5.259673e-05
43335.95837133,5.320320e-05,5.316056e-05
43335.95906577,5.340144e-05,5.338267e-05
43335.95976022,5.275543e-05,5.288719e-05
43335.96045466,5.254351e-05,5.249422e-05
43335.96114910,5.330574e-05,5.328016e-05
43335.96184355,5.398935e-05,5.384399e-05
43335.96253799,5.463194e-05,5.469827e-05
43335.96323244,5.156595e-05,5.148616e-05
43335.96392688,5.181547e-05,5.158868e-05
43335.96462132,5.342537e-05,5.334850e-05
43335.96531577,5.405771e-05,5.399776e-05
43335.96601021,5.253668e-05,5.257965e-05
43335.96670466,5.199321e-05,5.184496e-05
43335.96739910,5.328181e-05,5.333142e-05
43335.96809354,5.363045e-05,5.346810e-05
43335.96878799,5.403720e-05,5.387816e-05
43335.96948243,5.339461e-05,5.346810e-05
43335.97017688,5.382528e-05,5.392942e-05
43335.97087132,5.492590e-05,5.486913e-05
43335.97156576,5.301179e-05,5.304096e-05
43335.97226021,5.249224e-05,5.256256e-05
43335.97295465,5.258795e-05,5.257965e-05
43335.97364910,5.235210e-05,5.240879e-05
43335.97434354,5.234185e-05,5.234045e-05
43335.97503798,5.258453e-05,5.257965e-05
43335.97573243,5.311433e-05,5.310930e-05
43335.97642687,5.433457e-05,5.411736e-05
43335.97712132,5.460118e-05,5.445907e-05
43335.97781576,5.371932e-05,5.369022e-05
43335.97851020,5.403720e-05,5.399776e-05
43335.97920465,5.362020e-05,5.365604e-05
43335.97989909,5.276910e-05,5.273342e-05
43335.98059353,5.278619e-05,5.263090e-05
43335.98128798,5.377743e-05,5.353644e-05
43335.98198242,5.330574e-05,5.326307e-05
43335.98267687,5.321687e-05,5.334850e-05
43335.98337131,5.329548e-05,5.321182e-05
43335.98406576,5.299470e-05,5.288719e-05
43335.98476020,5.212309e-05,5.203290e-05
43335.98545464,5.351424e-05,5.341685e-05
43335.98614909,5.207866e-05,5.210125e-05
43335.98684353,5.281354e-05,5.287010e-05
43335.98753798,5.298102e-05,5.297262e-05
43335.98823242,5.249908e-05,5.256256e-05
43335.98892686,5.332625e-05,5.345102e-05
43335.98962131,5.342195e-05,5.341685e-05
43335.99031575,5.366463e-05,5.360479e-05
43335.99101020,5.413633e-05,5.404902e-05
43335.99170464,5.353133e-05,5.348519e-05
43335.99239908,5.432090e-05,5.427113e-05
43335.99309353,5.469347e-05,5.459576e-05
43335.99378797,5.452257e-05,5.439073e-05
43335.99448242,5.496008e-05,5.474953e-05
43335.99517686,5.587611e-05,5.579176e-05
43335.99587130,5.517541e-05,5.507416e-05
43335.99656575,5.390048e-05,5.382690e-05
43335.99726019,5.415683e-05,5.415153e-05
43335.99795464,5.427305e-05,5.410027e-05
43335.99864908,5.267340e-05,5.268216e-05
43335.99934352,5.403378e-05,5.411736e-05
43336.00003797,5.426279e-05,5.411736e-05
43336.00073241,5.406796e-05,5.387816e-05
43336.00142686,5.408164e-05,5.399776e-05
43336.00212130,5.404404e-05,5.401484e-05
43336.00281574,5.479943e-05,5.466410e-05
43336.00351019,5.426621e-05,5.411736e-05
43336.00420463,5.295368e-05,5.292136e-05
43336.00489907,5.330916e-05,5.321182e-05
43336.00559352,5.448497e-05,5.435656e-05
43336.00628796,5.476183e-05,5.464701e-05
